Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
1201,plate,,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",2 - Processed,,,,Université Paris 1 Panthéon-Sorbonne,François Giligny and Madeleine Daste,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_09_20,2024_10_10,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201 (1),plate,,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",2 - Processed,,,,Université Paris 1 Panthéon-Sorbonne,François Giligny and Madeleine Daste,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_09_20,2024_10_10,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6484_2,bowl,,"china porcelain: a hemispherical bowl with a large tray, with a deep-fired buff-brown ground, decorated on the inside with blue-cameo fleurages and squared circular friezes. Note: the pieces were part of the cargo of a ship belonging to the Swedish East India Company, which sank on reaching its destination in the port of Gottenbourg in 1745, where they remained buried until 1864, when a local merchant had them removed;",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169_372,vase,,"Beige long vase, closed form. Crackled enamel",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3460,1-3500,1 (1)",tile for wall panel,,Dutch white and blue tiles  ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3460,1-3500,1 (2)",tile for wall panel,,Dutch white and blue tiles  ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3460,1-3500,1 (3)",tile for wall panel,,Dutch white and blue tiles  ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3460,1-3500,1 (4)",tile for wall panel,,Dutch white and blue tiles  ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3460,1-3500,1 (5)",tile for wall panel,,Dutch white and blue tiles  ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"343,1",soup tureen,,"Earthenware tureen, green floral frieze along the rim with coat of arms on each side. ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"410,1",standing egg holder,,standing egg holder with yellow and blue floral decoration,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9630,1",devotional plaque,,santa maria gratiarum earthenware devotional plaque. Full-length saint in the center holding arrows in each hand,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
